acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,commonName,Subspecies
"Dendrocincla tyrannina (Lafresnaye, 1851)",167,SPECIES,ACCEPTED,Dendrocincla,2485949.0,Dendrocincla tyrannina,2485976.0,LC,Dendrocincla tyrannina,"(Lafresnaye, 1851)",Tyrannine Woodcreeper,"Dendrocincla tyrannina tyrannina, 0.012121212121212121"
"Lepidocolaptes lacrymiger (Des Murs, 1849)",2249,SPECIES,ACCEPTED,Lepidocolaptes,2486010.0,Lepidocolaptes lacrymiger,2486011.0,LC,Lepidocolaptes lacrymiger,"(Des Murs, 1849)",Montane Woodcreeper,"Lepidocolaptes lacrymiger aequatorialis, 0.0022281639928698753"
"Lepidocolaptes souleyetii (Des Murs, 1849)",484,SPECIES,ACCEPTED,Lepidocolaptes,2486010.0,Lepidocolaptes souleyetii,2486044.0,LC,Lepidocolaptes souleyetii,"(Des Murs, 1849)",Streak-headed Woodcreeper,"Lepidocolaptes souleyetii esmeraldae, 0.006237006237006237"
"Lepidocolaptes affinis (Lafresnaye, 1839)",1,SPECIES,ACCEPTED,Lepidocolaptes,2486010.0,Lepidocolaptes affinis,2486053.0,LC,Lepidocolaptes affinis,"(Lafresnaye, 1839)",Spot-crowned Woodcreeper,
"Progne chalybea (Gmelin, 1789)",237,SPECIES,ACCEPTED,Progne,2489127.0,Progne chalybea,2489133.0,LC,Progne chalybea,"(Gmelin, 1789)",Grey-breasted Martin,
"Riparia riparia (Linnaeus, 1758)",15,SPECIES,ACCEPTED,Riparia,2489158.0,Riparia riparia,2489160.0,LC,Riparia riparia,"(Linnaeus, 1758)",Sand Martin,
"Petrochelidon pyrrhonota (Vieillot, 1817)",10,SPECIES,ACCEPTED,Petrochelidon,2489165.0,Petrochelidon pyrrhonota,2489169.0,LC,Petrochelidon pyrrhonota,"(Vieillot, 1817)",Cliff Swallow,
"Notiochelidon murina (Cassin, 1853)",41,SPECIES,SYNONYM,Notiochelidon,2489174.0,Notiochelidon murina,2489177.0,LC,Orochelidon murina,"(Cassin, 1853)",Brown-bellied Swallow,
"Notiochelidon cyanoleuca (Vieillot, 1817)",7865,SPECIES,SYNONYM,Notiochelidon,2489174.0,Notiochelidon cyanoleuca,2489208.0,LC,Pygochelidon cyanoleuca,"(Vieillot, 1817)",Blue-and-white Swallow,
"Stelgidopteryx ruficollis (Vieillot, 1817)",4291,SPECIES,ACCEPTED,Stelgidopteryx,2489200.0,Stelgidopteryx ruficollis,2489203.0,LC,Stelgidopteryx ruficollis,"(Vieillot, 1817)",Southern Rough-Winged Swallow,"Stelgidopteryx ruficollis uropygialis, 0.00046630916297505244"
"Neochelidon tibialis (Cassin, 1853)",150,SPECIES,SYNONYM,Neochelidon,2489211.0,Neochelidon tibialis,2489212.0,LC,Atticora tibialis,"(Cassin, 1853)",White-thighed Swallow,
"Hirundo rustica Linnaeus, 1758",55,SPECIES,ACCEPTED,Hirundo,2489222.0,Hirundo rustica,9515886.0,LC,Hirundo rustica,"Linnaeus, 1758",Barn Swallow,
"Mniotilta varia (Linnaeus, 1766)",161,SPECIES,ACCEPTED,Mniotilta,2489612.0,Mniotilta varia,2489613.0,LC,Mniotilta varia,"(Linnaeus, 1766)",Black-and-white Warbler,
"Cardellina canadensis (Linnaeus, 1766)",400,SPECIES,ACCEPTED,Cardellina,2489633.0,Cardellina canadensis,6091946.0,LC,Cardellina canadensis,"(Linnaeus, 1766)",Canada Warbler,
"Geothlypis semiflava P.L.Sclater, 1860",806,SPECIES,ACCEPTED,Geothlypis,2489637.0,Geothlypis semiflava,2489641.0,LC,Geothlypis semiflava,"P.L.Sclater, 1860",Olive-crowned Yellowthroat,"Geothlypis semiflava semiflava, 0.004987531172069825"
"Geothlypis philadelphia (A.Wilson, 1810)",24,SPECIES,ACCEPTED,Geothlypis,2489637.0,Geothlypis philadelphia,5789148.0,LC,Geothlypis philadelphia,"(A.Wilson, 1810)",Mourning Warbler,
"Geothlypis auricularis Salvin, 1883",2,SPECIES,ACCEPTED,Geothlypis,2489637.0,Geothlypis auricularis,6100790.0,LC,Geothlypis auricularis,"Salvin, 1883",Black-lored Yellowthroat,
"Basileuterus tristriatus (Tschudi, 1844)",4753,SPECIES,ACCEPTED,Basileuterus,2489731.0,Basileuterus tristriatus,2489815.0,LC,Basileuterus tristriatus,"(Tschudi, 1844)",Three-striped Warbler,
"Myioborus melanocephalus (Tschudi, 1844)",85,SPECIES,ACCEPTED,Myioborus,2489828.0,Myioborus melanocephalus,2489830.0,LC,Myioborus melanocephalus,"(Tschudi, 1844)",Spectacled Whitestart,
"Myioborus miniatus (Swainson, 1827)",6749,SPECIES,ACCEPTED,Myioborus,2489828.0,Myioborus miniatus,2489837.0,LC,Myioborus miniatus,"(Swainson, 1827)",Slate-throated Whitestart,"Myioborus miniatus ballux, 0.0019299287410926365"
"Protonotaria citrea (Boddaert, 1783)",1,SPECIES,ACCEPTED,Protonotaria,2489870.0,Protonotaria citrea,2489871.0,LC,Protonotaria citrea,"(Boddaert, 1783)",Prothonotary Warbler,
"Setophaga ruticilla (Linnaeus, 1758)",45,SPECIES,ACCEPTED,Setophaga,2489984.0,Setophaga ruticilla,2489985.0,LC,Setophaga ruticilla,"(Linnaeus, 1758)",American Redstart,
"Setophaga virens (J.F.Gmelin, 1789)",9,SPECIES,ACCEPTED,Setophaga,2489984.0,Setophaga virens,6092631.0,LC,Setophaga virens,"(J.F.Gmelin, 1789)",Black-throated Green Warbler,
"Setophaga striata (J.R.Forster, 1772)",13,SPECIES,ACCEPTED,Setophaga,2489984.0,Setophaga striata,6092935.0,NT,Setophaga striata,"(J.R.Forster, 1772)",Blackpoll Warbler,
"Setophaga pensylvanica (Linnaeus, 1766)",2,SPECIES,ACCEPTED,Setophaga,2489984.0,Setophaga pensylvanica,6092942.0,LC,Setophaga pensylvanica,"(Linnaeus, 1766)",Chestnut-sided Warbler,
"Setophaga fusca (Statius Müller, 1776)",3204,SPECIES,ACCEPTED,Setophaga,2489984.0,Setophaga fusca,6093199.0,LC,Setophaga fusca,"(Statius Müller, 1776)",Blackburnian Warbler,
"Setophaga castanea (A.Wilson, 1810)",9,SPECIES,ACCEPTED,Setophaga,2489984.0,Setophaga castanea,6093202.0,LC,Setophaga castanea,"(A.Wilson, 1810)",Bay-breasted Warbler,
"Setophaga cerulea (A.Wilson, 1810)",111,SPECIES,ACCEPTED,Setophaga,2489984.0,Setophaga cerulea,6093350.0,NT,Setophaga cerulea,"(A.Wilson, 1810)",Cerulean Warbler,
"Setophaga petechia (Linnaeus, 1766)",11,SPECIES,ACCEPTED,Setophaga,2489984.0,Setophaga petechia,7341834.0,LC,Setophaga petechia,"(Linnaeus, 1766)",Yellow Warbler,
"Setophaga pitiayumi (Vieillot, 1817)",7811,SPECIES,ACCEPTED,Setophaga,2489984.0,Setophaga pitiayumi,7341895.0,LC,Setophaga pitiayumi,"(Vieillot, 1817)",Tropical Parula,"Setophaga pitiayumi pacifica, 0.00038422131147540983"
"Vermivora chrysoptera (Linnaeus, 1766)",17,SPECIES,ACCEPTED,Vermivora,5230809.0,Vermivora chrysoptera,5230811.0,NT,Vermivora chrysoptera,"(Linnaeus, 1766)",Golden-winged Warbler,
"Parkesia noveboracensis (J.F.Gmelin, 1789)",1,SPECIES,ACCEPTED,Parkesia,6093857.0,Parkesia noveboracensis,6093856.0,LC,Parkesia noveboracensis,"(J.F.Gmelin, 1789)",Northern Waterthrush,
"Myiothlypis fulvicauda (von Spix, 1825)",1392,SPECIES,ACCEPTED,Myiothlypis,7341612.0,Myiothlypis fulvicauda,7341658.0,LC,Myiothlypis fulvicauda,"(von Spix, 1825)",Buff-rumped Warbler,
"Myiothlypis chlorophrys (von Berlepsch, 1907)",181,SPECIES,ACCEPTED,Myiothlypis,7341612.0,Myiothlypis chlorophrys,7529367.0,LC,Myiothlypis chlorophrys,"(von Berlepsch, 1907)",Choco Warbler,
"Myiothlypis coronata (Tschudi, 1844)",133,SPECIES,ACCEPTED,Myiothlypis,7341612.0,Myiothlypis coronata,7646544.0,LC,Myiothlypis coronata,"(Tschudi, 1844)",Russet-crowned Warbler,
"Myiothlypis nigrocristata (Lafresnaye, 1840)",49,SPECIES,ACCEPTED,Myiothlypis,7341612.0,Myiothlypis nigrocristata,7811145.0,LC,Myiothlypis nigrocristata,"(Lafresnaye, 1840)",Black-crested Warbler,
"Leiothlypis peregrina (A.Wilson, 1811)",21,SPECIES,ACCEPTED,Leiothlypis,7467942.0,Leiothlypis peregrina,7415507.0,LC,Leiothlypis peregrina,"(A.Wilson, 1811)",Tennessee Warbler,
"Passer domesticus (Linnaeus, 1758)",40,SPECIES,ACCEPTED,Passer,2492321.0,Passer domesticus,5231190.0,LC,Passer domesticus,"(Linnaeus, 1758)",House Sparrow,
"Manacus manacus (Linnaeus, 1766)",85,SPECIES,ACCEPTED,Manacus,2487665.0,Manacus manacus,2487672.0,LC,Manacus manacus,"(Linnaeus, 1766)",White-bearded Manakin,
"Masius chrysopterus (Lafresnaye, 1843)",570,SPECIES,ACCEPTED,Masius,2487739.0,Masius chrysopterus,2487740.0,LC,Masius chrysopterus,"(Lafresnaye, 1843)",Golden-winged Manakin,"Masius chrysopterus coronulatus, 0.0035211267605633804"
"Machaeropterus deliciosus (P.L.Sclater, 1860)",1710,SPECIES,ACCEPTED,Machaeropterus,2487746.0,Machaeropterus deliciosus,2487754.0,LC,Machaeropterus deliciosus,"(P.L.Sclater, 1860)",Club-winged Manakin,
"Myornis senilis (Lafresnaye, 1840)",8,SPECIES,ACCEPTED,Myornis,2490962.0,Myornis senilis,2490963.0,LC,Myornis senilis,"(Lafresnaye, 1840)",Ash-colored Tapaculo,
"Acropternis orthonyx (Lafresnaye, 1843)",35,SPECIES,ACCEPTED,Acropternis,2490974.0,Acropternis orthonyx,2490975.0,LC,Acropternis orthonyx,"(Lafresnaye, 1843)",Ocellated Tapaculo,
"Scytalopus spillmanni Stresemann, 1937",56,SPECIES,ACCEPTED,Scytalopus,2490976.0,Scytalopus spillmanni,2490984.0,LC,Scytalopus spillmanni,"Stresemann, 1937",Spillmann'S Tapaculo,
"Scytalopus vicinior Zimmer, 1939",327,SPECIES,ACCEPTED,Scytalopus,2490976.0,Scytalopus vicinior,2490999.0,LC,Scytalopus vicinior,"Zimmer, 1939",Nariño Tapaculo,
"Scytalopus latrans Hellmayr, 1924",5,SPECIES,ACCEPTED,Scytalopus,2490976.0,Scytalopus latrans,7340755.0,LC,Scytalopus latrans,"Hellmayr, 1924",Blackish Tapaculo,
"Gymnopithys leucaspis bicolor (Lawrence, 1863)",1,SPECIES,SYNONYM,Gymnopithys,2490002.0,Gymnopithys leucaspis,2490003.0,LC,Gymnopithys bicolor,"(Lawrence, 1863)",Bicolored Antbird,
"Terenura callinota (P.L.Sclater, 1855)",257,SPECIES,SYNONYM,Terenura,2490011.0,Terenura callinota,2490016.0,LC,Euchrepomis callinota,"(P.L.Sclater, 1855)",Rufous-rumped Antwren,
"Dysithamnus puncticeps Salvin, 1866",2,SPECIES,ACCEPTED,Dysithamnus,2490027.0,Dysithamnus puncticeps,2490029.0,LC,Dysithamnus puncticeps,"Salvin, 1866",Spot-crowned Antvireo,
"Dysithamnus mentalis (Temminck, 1823)",50,SPECIES,ACCEPTED,Dysithamnus,2490027.0,Dysithamnus mentalis,2490033.0,LC,Dysithamnus mentalis,"(Temminck, 1823)",Plain Antvireo,"Dysithamnus mentalis aequatorialis, 0.02040816326530612"
