taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2479902	Pionus menstruus (Linnaeus, 1766)	2479902	Pionus menstruus (Linnaeus, 1766)	58	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Pionus	2479900	Pionus menstruus	2479902	LC
2490717	Turdus fuscater Orbigny & Lafresnaye, 1837	2490717	Turdus fuscater Orbigny & Lafresnaye, 1837	190	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Turdus	2490714	Turdus fuscater	2490717	LC
2491024	Arremonops conirostris (Bonaparte, 1850)	2491024	Arremonops conirostris (Bonaparte, 1850)	748	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Arremonops	2491023	Arremonops conirostris	2491024	LC
2495414	Columba livia J.F.Gmelin, 1789	2495414	Columba livia J.F.Gmelin, 1789	1598	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Columba	2495404	Columba livia	2495414	LC
5228136	Porphyrio martinica (Linnaeus, 1766)	5228136	Porphyrio martinica (Linnaeus, 1766)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Rallidae	9342	Porphyrio	3242186	Porphyrio martinica	5228136	LC
6177007	Eubucco bourcierii aequatorialis (Salvadori & Festa, 1900)	6177007	Eubucco bourcierii aequatorialis (Salvadori & Festa, 1900)	4	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Capitonidae	3242201	Eubucco	2478968	Eubucco bourcierii	2478979	
7340409	Atticora tibialis (Cassin, 1853)	2489212	Neochelidon tibialis (Cassin, 1853)	150	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Neochelidon	2489211	Neochelidon tibialis	2489212	LC
2476344	Haplophaedia lugens (Gould, 1852)	2476344	Haplophaedia lugens (Gould, 1852)	19	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Haplophaedia	2476335	Haplophaedia lugens	2476344	NT
5229606	Elaenia flavogaster (Thunberg, 1822)	5229606	Elaenia flavogaster (Thunberg, 1822)	1255	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Elaenia	2483089	Elaenia flavogaster	5229606	LC
5229610	Elaenia flavogaster semipagana P.L.Sclater, 1862	5229610	Elaenia flavogaster semipagana P.L.Sclater, 1862	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Elaenia	2483089	Elaenia flavogaster	5229606	
