internalTaxonId,scientificName,maincommonName,altcommonNames
22687566,Amazilia franciae,Andean Emerald,
22687529,Amazilia luciae,Honduran Emerald,
22687603,Amazilia rutila,Cinnamon Hummingbird,
22730168,Amazilia tzacatl,Rufous-tailed Hummingbird,
22687606,Amazilia yucatanensis,Buff-bellied Hummingbird,
22687618,Amazilis amazilia,Amazilia Hummingbird,
22686332,Amazona aestiva,Blue-fronted Parrot,"Turquoise-fronted Amazon, Blue-fronted Amazon"
22686231,Amazona agilis,Black-billed Amazon,Black-billed Parrot
22686222,Amazona albifrons,White-fronted Amazon,White-fronted Parrot
22686350,Amazona amazonica,Orange-winged Amazon,Orange-winged Parrot
22686395,Amazona arausiaca,Red-necked Amazon,"Jacquot, Red-necked Parrot"
22686342,Amazona auropalliata,Yellow-naped Amazon,Yellow-naped Parrot
22728292,Amazona autumnalis,Red-lored Amazon,
22686325,Amazona barbadensis,Yellow-shouldered Parrot,Yellow-shouldered Amazon
22727636,Amazona bodini,Northern Festive Amazon,
22686296,Amazona brasiliensis,Red-tailed Amazon,Red-tailed Parrot
22686209,Amazona collaria,Yellow-billed Amazon,Yellow-billed Parrot
22731595,Amazona diadema,Diademed Amazon,
22686282,Amazona dufresniana,Blue-cheeked Amazon,Blue-cheeked Parrot
45430572,Amazona farinosa,Southern Mealy Amazon,
22727626,Amazona festiva,Festive Amazon,"Festive Parrot, Southern Festive Amazon"
22686268,Amazona finschi,Lilac-crowned Amazon,Lilac-crowned Parrot
45430583,Amazona guatemalae,Northern Mealy Amazon,
22686403,Amazona guildingii,St Vincent Amazon,"St. Vincent Parrot, Saint Vincent Amazon, Saint Vincent Parrot, St. Vincent Amazon"
22686411,Amazona imperialis,Imperial Parrot,Imperial Amazon
