gbif_scientificName,wiki_commonName
Tangara arthus,Golden Tanager
Tangara arthus goodsoni,Golden Tanager
Tangara florida,Emerald Tanager
Tangara parzudakii,Flame-faced Tanager
Tangara parzudakii lunigera,Flame-faced Tanager
Tangara lavinia,Rufous-winged Tanager
Tangara icterocephala,Silver-throated Tanager
Tangara icterocephala icterocephala,Silver-throated Tanager
Tangara xanthocephala,Saffron-crowned Tanager
Heterospingus xanthopygius,Scarlet-browed Tanager
Chlorochrysa phoenicotis,Glistening-green Tanager
Buthraupis montana,Hooded Mountain Tanager
Bangsia edwardsi,Moss-backed Tanager
Dacnis cayana,Blue Dacnis
Dacnis lineata,Black-faced Dacnis
Dacnis egregia,Yellow-tufted Dacnis
Dacnis lineata aequatorialis,Black-faced Dacnis
Dacnis egregia aequatorialis,Yellow-tufted Dacnis
Ramphocelus flammigerus,Flame-rumped Tanager
Ramphocelus icteronotus,Lemon-rumped Tanager
Ramphocelus flammigerus icteronotus,Flame-rumped Tanager
Tersina viridis,Swallow Tanager
Tersina viridis occidentalis,Swallow Tanager
Tachyphonus rufus,White-lined Tanager
Tachyphonus delatrii,Tawny-crested Tanager
Thraupis episcopus,Blue-gray Tanager
Thraupis episcopus quaesita,Blue-gray Tanager
Tangara episcopus,Blue-gray Tanager
Thraupis palmarum,Palm Tanager
Thraupis palmarum violilavata,Palm Tanager
Tangara palmarum,Palm Tanager
Iridosornis rufivertex,Golden-crowned Tanager
Iridosornis porphyrocephalus,Purplish-mantled Tanager
Iridophanes pulcherrimus,Golden-collared Honeycreeper
Thlypopsis ornata,Rufous-chested Tanager
Hemispingus superciliaris,Superciliaried Hemispingus
Chlorophanes spiza,Green Honeycreeper
Pipraeidea melanonota,Fawn-breasted Tanager
Pipraeidea melanonota venezuelensis,Fawn-breasted Tanager
Diglossa albilatera,White-sided Flowerpiercer
Diglossa albilatera albilatera,White-sided Flowerpiercer
Diglossa sittoides,Rusty Flowerpiercer
Diglossa cyanea,Masked Flowerpiercer
Cyanerpes caeruleus,Purple Honeycreeper
Catamblyrhynchus diadema,Plushcap
Catamenia analis,Band-tailed Seedeater
Haplospiza rustica,Slaty Finch
Sporophila luctuosa,Black-and-white Seedeater
Sporophila schistacea,Slate-coloured Seedeater
Sporophila nigricollis,Yellow-bellied Seedeater
Sporophila nigricollis olivacea,Yellow-bellied Seedeater
Sporophila nigricollis vivida,Yellow-bellied Seedeater
Sporophila telasco,Chestnut-throated Seedeater
Sporophila corvina,Variable Seedeater
Sporophila corvina ophthalmica,Variable Seedeater
Sporophila funerea,Thick-billed Seed Finch
Volatinia jacarina,Blue-black Grassquit
Volatinia jacarina peruviensis,Blue-black Grassquit
Tiaris olivaceus,Yellow-faced Grassquit
Tiaris olivaceus pusillus,Yellow-faced Grassquit
Rhopospina alaudina,Band-tailed Sierra Finch
Sicalis luteola,Grassland Yellow Finch
Sicalis flaveola,Saffron Finch
Rhodospingus cruentus,Crimson-breasted Finch
Paroaria coronata,Red-crested Cardinal
Coereba flaveola,Bananaquit
Coereba flaveola intermedia,Bananaquit
Hemithraupis guira,Guira Tanager
Chalcothraupis ruficervix,Golden-naped Tanager
Rauenia bonariensis,Blue-and-yellow Tanager
Sporathraupis cyanocephala,Blue-capped Tanager
Geospizopsis plebejus,Ash-breasted Sierra Finch
Sphenopsis frontalis,Oleaginous Hemispingus
Sphenopsis melanotis,Black-eared Hemispingus
Sphenopsis ochracea,Western Hemispingus
Ixothraupis rufigula,Rufous-throated Tanager
Tangara rufigula,Rufous-throated Tanager
Loriotus luctuosus,White-shouldered Tanager
Chlorornis riefferii,Grass-green Tanager
Saltator striatipectus,Streaked Saltator
Saltator maximus,Buff-throated Saltator
Saltator maximus maximus,Buff-throated Saltator
Saltator atripennis,Black-winged Saltator
Saltator grossus,Slate-coloured Grosbeak
Asemospiza obscura,Dull-coloured Grassquit
Asemospiza obscura pauper,Dull-coloured Grassquit
Poecilostreptus palmeri,Grey-and-gold Tanager
Stilpnia heinei,Black-capped Tanager
Stilpnia larvata,Golden-hooded Tanager
Stilpnia cyanicollis,Blue-necked Tanager
Stilpnia cyanicollis cyanopygia,Blue-necked Tanager
Tangara cyanicollis,Blue-necked Tanager
Stilpnia vitriolina,Scrub Tanager
Conirostrum cinereum,Cinereous Conebill
Conirostrum albifrons,Capped Conebill
Cinnycerthia unirufa,Rufous Wren
Cinnycerthia olivascens,Sepia-brown Wren
Troglodytes solstitialis,Mountain Wren
Troglodytes aedon,Northern House Wren
Troglodytes aedon albicans,Northern House Wren
Troglodytes musculus,Southern House Wren
Campylorhynchus zonatus,Band-backed Wren
Campylorhynchus zonatus brevirostris,Band-backed Wren
Henicorhina leucophrys,Grey-breasted Wood Wren
Henicorhina leucophrys brunneiceps,Grey-breasted Wood Wren
Henicorhina leucophrys hilaris,Grey-breasted Wood Wren
