sort v2024,species_code,English name,scientific name
1057.0,elequa,Elegant Quail,Callipepla douglasii
1064.0,calqua,California Quail,Callipepla californica
1075.0,gamqua,Gambel's Quail,Callipepla gambelii
1084.0,monqua,Montezuma Quail,Cyrtonyx montezumae
1092.0,ocequa1,Ocellated Quail,Cyrtonyx ocellatus
1093.0,sinqua1,Singing Quail,Dactylortyx thoracicus
1105.0,mawqua1,Marbled Wood-Quail,Odontophorus gujanensis
1114.0,swwqua1,Spot-winged Wood-Quail,Odontophorus capueira
1117.0,bewqua1,Black-eared Wood-Quail,Odontophorus melanotis
1120.0,bfwqua1,Black-fronted Wood-Quail,Odontophorus atrifrons
1124.0,rfwqua1,Rufous-fronted Wood-Quail,Odontophorus erythrops
1127.0,chwqua1,Chestnut Wood-Quail,Odontophorus hyperythrus
1128.0,dbwqua1,Dark-backed Wood-Quail,Odontophorus melanonotus
1129.0,rbwqua1,Rufous-breasted Wood-Quail,Odontophorus speciosus
1133.0,tawqua1,Tacarcuna Wood-Quail,Odontophorus dialeucos
1134.0,gowqua1,Gorgeted Wood-Quail,Odontophorus strophium
1135.0,venwoq1,Venezuelan Wood-Quail,Odontophorus columbianus
1136.0,bbwqua1,Black-breasted Wood-Quail,Odontophorus leucolaemus
1138.0,sfwqua1,Stripe-faced Wood-Quail,Odontophorus balliviani
1139.0,stwqua1,Starred Wood-Quail,Odontophorus stellatus
1140.0,spwqua1,Spotted Wood-Quail,Odontophorus guttatus
1144.0,udzpar1,Udzungwa Partridge,Xenoperdix udzungwensis
1147.0,ferpar2,Ferruginous Partridge,Caloperdix oculeus
1151.0,crepar1,Crested Partridge,Rollulus rouloul
1152.0,blapar2,Black Partridge,Melanoperdix niger
1155.0,hilpar1,Hill Partridge,Arborophila torqueola
1161.0,sicpar1,Sichuan Partridge,Arborophila rufipectus
1162.0,chbpar2,Chestnut-breasted Partridge,Arborophila mandellii
1163.0,whnpar2,White-necklaced Partridge,Arborophila gingica
1166.0,rutpar1,Rufous-throated Partridge,Arborophila rufogularis
1173.0,rebpar3,Red-billed Partridge,Arborophila rubrirostris
1174.0,chhpar1,Chestnut-headed Partridge,Arborophila cambodiana
1179.0,haipar1,Hainan Partridge,Arborophila ardens
1180.0,taipar1,Taiwan Partridge,Arborophila crudigularis
1181.0,whcpar1,White-cheeked Partridge,Arborophila atrogularis
1182.0,babpar1,Bar-backed Partridge,Arborophila brunneopectus
1186.0,ornpar1,Orange-necked Partridge,Arborophila davidi
1187.0,rebpar5,Red-breasted Partridge,Arborophila hyperythra
1190.0,gybpar3,Malayan Partridge,Arborophila campbelli
1191.0,gybpar5,Roll's Partridge,Arborophila rolli
1192.0,gybpar6,Sumatran Partridge,Arborophila sumatrana
1194.0,chbpar1,Chestnut-bellied Partridge,Arborophila javanica
1197.0,gybpar4,Gray-breasted Partridge,Arborophila orientalis
1198.0,snopar1,Snow Partridge,Lerwa lerwa
1199.0,blophe1,Blood Pheasant,Ithaginis cruentus
1214.0,westra1,Western Tragopan,Tragopan melanocephalus
1215.0,sattra1,Satyr Tragopan,Tragopan satyra
