scientificName,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
"Chlorophonia pyrrhophrys (P.L.Sclater, 1851)","Chlorophonia pyrrhophrys (P.L.Sclater, 1851)",4,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Chlorophonia,2488311.0,Chlorophonia pyrrhophrys,2488312.0,LC
"Chlorophonia flavirostris P.L.Sclater, 1861","Chlorophonia flavirostris P.L.Sclater, 1861",861,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Chlorophonia,2488311.0,Chlorophonia flavirostris,2488313.0,LC
"Chlorophonia cyanea (Thunberg, 1822)","Chlorophonia cyanea (Thunberg, 1822)",1,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Chlorophonia,2488311.0,Chlorophonia cyanea,2488315.0,LC
"Spinus psaltria (Say, 1822)","Spinus psaltria (Say, 1822)",104,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus psaltria,5231647.0,LC
"Spinus psaltria colombianus (Lafresnaye, 1843)","Spinus psaltria colombianus (Lafresnaye, 1843)",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus psaltria,5231647.0,
"Spinus magellanicus (Vieillot, 1805)","Spinus magellanicus (Vieillot, 1805)",87,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus magellanicus,7341745.0,LC
"Spinus xanthogastrus (Du Bus de Gisignies, 1855)","Spinus xanthogastrus (Du Bus de Gisignies, 1855)",377,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus xanthogastrus,7341765.0,LC
Spinus xanthogastrus xanthogastrus,Spinus xanthogastrus xanthogastrus,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus xanthogastrus,7341765.0,
"Synallaxis unirufa Lafresnaye, 1843","Synallaxis unirufa Lafresnaye, 1843",96,SPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis unirufa,2484927.0,LC
"Synallaxis brachyura Lafresnaye, 1843","Synallaxis brachyura Lafresnaye, 1843",4129,SPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis brachyura,2485023.0,LC
Synallaxis brachyura chapmani,Synallaxis brachyura chapmani,9,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis brachyura,2485023.0,
"Synallaxis brachyura nigrifumosa Lawrence, 1865","Synallaxis brachyura nigrifumosa Lawrence, 1865",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis brachyura,2485023.0,
"Synallaxis azarae Orbigny, 1835","Synallaxis azarae Orbigny, 1835",295,SPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis azarae,9492770.0,LC
"Sclerurus mexicanus obscurior Hartert, 1901","Sclerurus mexicanus obscurior Hartert, 1901",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Sclerurus,2485208.0,Sclerurus mexicanus,2485221.0,
"Sclerurus guatemalensis (Hartlaub, 1844)","Sclerurus guatemalensis (Hartlaub, 1844)",14,SPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Sclerurus,2485208.0,Sclerurus guatemalensis,2485239.0,LC
"Sclerurus obscurior Hartert & Ejo, 1901","Sclerurus obscurior Hartert & Ejo, 1901",187,SPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Sclerurus,2485208.0,Sclerurus obscurior,8867648.0,NE
"Thripadectes ignobilis (P.L.Sclater & Salvin, 1879)","Thripadectes ignobilis (P.L.Sclater & Salvin, 1879)",82,SPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Thripadectes,2485254.0,Thripadectes ignobilis,2485256.0,LC
"Thripadectes virgaticeps Lawrence, 1874","Thripadectes virgaticeps Lawrence, 1874",527,SPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Thripadectes,2485254.0,Thripadectes virgaticeps,2485257.0,LC
Thripadectes virgaticeps virgaticeps,Thripadectes virgaticeps virgaticeps,6,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Thripadectes,2485254.0,Thripadectes virgaticeps,2485257.0,
"Thripadectes holostictus (P.L.Sclater & Salvin, 1876)","Thripadectes holostictus (P.L.Sclater & Salvin, 1876)",88,SPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Thripadectes,2485254.0,Thripadectes holostictus,2485265.0,LC
"Thripadectes holostictus striatidorsus (Berlepsch & Taczanowski, 1884)","Thripadectes holostictus striatidorsus (Berlepsch & Taczanowski, 1884)",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Thripadectes,2485254.0,Thripadectes holostictus,2485265.0,
Thripadectes flammulatus flammulatus,Thripadectes flammulatus flammulatus,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Thripadectes,2485254.0,Thripadectes flammulatus,2485272.0,
