taxonKey	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	absoluteRatio	rarity	relativeRatio	relativePercent	splitScientificName	splitExtras
9485798	9485798	Thamnistes anabatinus P.L.Sclater & Salvin, 1860	91	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Thamnistes	2490054.0	Thamnistes anabatinus	9485798.0	LC	0.00014027104682278371	Uncommon	1.0	100.0%	Thamnistes anabatinus	P.L.Sclater & Salvin, 1860
7493446	7493446	Drymophila striaticeps Chapman, 1912	301	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Drymophila	2490056.0	Drymophila striaticeps	7493446.0	LC	0.00046397346256766924	Uncommon	1.0	100.0%	Drymophila striaticeps	Chapman, 1912
8354252	2490136	Cercomacra tyrannina (P.L.Sclater, 1855)	39	SPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Cercomacra	2490128.0	Cercomacra tyrannina	2490136.0	LC	6.0116162924050165e-05	Uncommon	1.0	100.0%	Cercomacroides tyrannina	(P.L.Sclater, 1855)
2490153	2490153	Myrmeciza immaculata (Lafresnaye, 1845)	1	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmeciza	2490145.0	Myrmeciza immaculata	2490153.0	NE	1.5414400749756452e-06	Very Rare	0.0007429420505200594	0.074%	Myrmeciza immaculata	(Lafresnaye, 1845)
9599432	2490163	Myrmeciza exsul P.L.Sclater, 1859	1341	SPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmeciza	2490145.0	Myrmeciza exsul	2490163.0	LC	0.00206707114054234	Common	0.9962852897473997	99.6%	Poliocrania exsul	(P.L.Sclater, 1859)
9577438	6090729	Myrmeciza exsul maculifer (Hellmayr, 1906)	2	SUBSPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmeciza	2490145.0	Myrmeciza exsul	2490163.0		3.0828801499512905e-06	Rare	0.0014858841010401188	0.149%	Poliocrania exsul	maculifer (Hellmayr, 1906)
9524245	7459131	Myrmeciza zeledoni Ridgway, 1909	2	SUBSPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmeciza	2490145.0	Myrmeciza zeledoni	7459131.0		3.0828801499512905e-06	Rare	0.0014858841010401188	0.149%	Hafferia zeledoni	berlepschi (Ridgway, 1909)
2490172	2490172	Myrmotherula pacifica Hellmayr, 1911	1227	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmotherula	2490167.0	Myrmotherula pacifica	2490172.0	LC	0.0018913469719951167	Common	0.5801418439716312	58.0%	Myrmotherula pacifica	Hellmayr, 1911
2490191	2490191	Myrmotherula axillaris (Vieillot, 1817)	9	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmotherula	2490167.0	Myrmotherula axillaris	2490191.0	LC	1.3872960674780808e-05	Rare	0.00425531914893617	0.426%	Myrmotherula axillaris	(Vieillot, 1817)
2490202	2490202	Myrmotherula schisticolor (Lawrence, 1865)	874	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmotherula	2490167.0	Myrmotherula schisticolor	2490202.0	LC	0.001347218625528714	Common	0.4132387706855792	41.3%	Myrmotherula schisticolor	(Lawrence, 1865)
7341689	7341689	Myrmotherula schisticolor schisticolor	5	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmotherula	2490167.0	Myrmotherula schisticolor	2490202.0		7.707200374878227e-06	Rare	0.002364066193853428	0.236%	Myrmotherula schisticolor	schisticolor
2490224	2490224	Taraba major (Vieillot, 1816)	423	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Taraba	2490223.0	Taraba major	2490224.0	LC	0.0006520291517146979	Uncommon	0.9976415094339622	99.8%	Taraba major	(Vieillot, 1816)
6093898	6093898	Taraba major transandeanus (P.L.Sclater, 1855)	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Taraba	2490223.0	Taraba major	2490224.0		1.5414400749756452e-06	Very Rare	0.0023584905660377358	0.236%	Taraba major	transandeanus (P.L.Sclater, 1855)
2490240	2490240	Microrhopias quixensis (Cornalia, 1849)	25	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Microrhopias	2490239.0	Microrhopias quixensis	2490240.0	LC	3.853600187439113e-05	Uncommon	1.0	100.0%	Microrhopias quixensis	(Cornalia, 1849)
