"gbif_id","gbif_common_name","ISO 639-2 Code","ISO 639-1 Code","English name of Language","French name of Language","German name of Language"
"2480726","visvalk","afr","af","Afrikaans","afrikaans","Afrikaans"
"2495150","volstruis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2417522","walvishaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"5220160","waterbok","afr","af","Afrikaans","afrikaans","Afrikaans"
"5220179","waterkoedoe","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480420","wespedief","afr","af","Afrikaans","afrikaans","Afrikaans"
"2481062","westelike rooipootvalk","afr","af","Afrikaans","afrikaans","Afrikaans"
"5219317","wildehond","afr","af","Afrikaans","afrikaans","Afrikaans"
"5232465","wildemakou","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480393","witaasvoël","afr","af","Afrikaans","afrikaans","Afrikaans"
"5229184","witkruisarend","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480350","witpelikaan","afr","af","Afrikaans","afrikaans","Afrikaans"
"9487001","witrugaasvoël","afr","af","Afrikaans","afrikaans","Afrikaans"
"2474913","witvlerkkorhaan","afr","af","Afrikaans","afrikaans","Afrikaans"
"5219146","witwasjakkals","afr","af","Afrikaans","afrikaans","Afrikaans"
"9616058","aqyfleri","sqi","sq","Albanian","albanais","Albanisch"
"2433433","ariu","sqi","sq","Albanian","albanais","Albanisch"
"2433451","ariu i bardhe","sqi","sq","Albanian","albanais","Albanisch"
"2494422","avdosa","sqi","sq","Albanian","albanais","Albanisch"
"2433875","baldosa","sqi","sq","Albanian","albanais","Albanisch"
"2440369","balena me sqep","sqi","sq","Albanian","albanais","Albanisch"
"2440369","balene me sqep","sqi","sq","Albanian","albanais","Albanisch"
"2362473","ballëgjeri i bardhë","sqi","sq","Albanian","albanais","Albanisch"
"2362473","ballgjeri i bardhe","sqi","sq","Albanian","albanais","Albanisch"
"2490737","bariboja","sqi","sq","Albanian","albanais","Albanisch"
"5228199","bariu","sqi","sq","Albanian","albanais","Albanisch"
"2350050","barkuleci i ylbertë","sqi","sq","Albanian","albanais","Albanisch"
"2498017","belbacuke","sqi","sq","Albanian","albanais","Albanisch"
"2498017","belbeja","sqi","sq","Albanian","albanais","Albanisch"
"2498112","bishtagjeli","sqi","sq","Albanian","albanais","Albanisch"
"2419543","bishtmini","sqi","sq","Albanian","albanais","Albanisch"
"2419543","bishtmiu","sqi","sq","Albanian","albanais","Albanisch"
"2498112","bishtrra","sqi","sq","Albanian","albanais","Albanisch"
"2441184","bizoni","sqi","sq","Albanian","albanais","Albanisch"
"2402159","bli turigjate","sqi","sq","Albanian","albanais","Albanisch"
"2402105","bli turishkurte","sqi","sq","Albanian","albanais","Albanisch"
"2402105","bli turishkurter","sqi","sq","Albanian","albanais","Albanisch"
"2402203","blini","sqi","sq","Albanian","albanais","Albanisch"
"2402193","blini i adriatikut","sqi","sq","Albanian","albanais","Albanisch"
"2402193","blini i bardhe","sqi","sq","Albanian","albanais","Albanisch"
"2402193","blini i bardhë","sqi","sq","Albanian","albanais","Albanisch"
"2402193","blini i drinit","sqi","sq","Albanian","albanais","Albanisch"
"2402105","blini i europës","sqi","sq","Albanian","albanais","Albanisch"
"2402159","blini me yje","sqi","sq","Albanian","albanais","Albanisch"
"2402203","blini turigjate","sqi","sq","Albanian","albanais","Albanisch"
"2402159","blini turigjatë","sqi","sq","Albanian","albanais","Albanisch"
"2402105","blini turishkurtër","sqi","sq","Albanian","albanais","Albanisch"
"2494422","boraku","sqi","sq","Albanian","albanais","Albanisch"
"2494422","borci","sqi","sq","Albanian","albanais","Albanisch"
"2494422","borësi","sqi","sq","Albanian","albanais","Albanisch"
"9797180","boroviqi","sqi","sq","Albanian","albanais","Albanisch"
