scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym,eBird_Species_Code,eBird_common_name,IOC_common_name
Adelomyia melanogenys,22687696,Speckled Hummingbird,,,spehum1,Speckled Hummingbird,Speckled Hummingbird
Aechmophorus clarkii,22696634,Clark's Grebe,,,clagre,Clark's Grebe,Clark's Grebe
Aechmophorus occidentalis,22696631,Western Grebe,,,wesgre,Western Grebe,Western Grebe
Aegithalos annamensis,103870959,Grey-crowned Tit,Grey-crowned Bushtit,,,,
Aegithalos bonvaloti,22736055,Black-browed Tit,"Black-browed Bushtit, Pere Bonvalot's Tit, Père Bonvalot's Tit",,,,Black-browed Bushtit
Aegithalos caudatus,103871923,Long-tailed Tit,Long-tailed Bushtit,,lottit1,Long-tailed Tit,Long-tailed Tit
Aegithalos concinnus,103870880,Black-throated Tit,Black-throated Bushtit,,blttit2,Black-throated Tit,Black-throated Bushtit
Aegithalos fuliginosus,22712024,Sooty Tit,"Sooty Bushtit, White-necklaced Tit",,sootit1,Sooty Tit,Sooty Bushtit
Aegithalos glaucogularis,103871974,Silver-throated Tit,Silver-throated Bushtit,,lottit5,Silver-throated Tit,Silver-throated Bushtit
Aegithalos iouschistos,103871775,Rufous-fronted Tit,Rufous-fronted Bushtit,,bkbtit3,Black-browed Tit,Rufous-fronted Bushtit
Aegithalos iredalei,103871108,Red-headed Tit,Red-headed Bushtit,,,,
Aegithalos leucogenys,22712008,White-cheeked Tit,White-cheeked Bushtit,,whctit1,White-cheeked Tit,White-cheeked Bushtit
Aegithalos niveogularis,22712016,White-throated Tit,White-throated Bushtit,,whttit1,White-throated Tit,White-throated Bushtit
Aegithina lafresnayei,22707443,Great Iora,,,greior1,Great Iora,Great Iora
Aegithina nigrolutea,22707436,Marshall's Iora,White-tailed Iora,,whtior1,White-tailed Iora,Marshall's Iora
Aegithina tiphia,22707433,Common Iora,,,comior1,Common Iora,Common Iora
Aegithina viridissima,22707440,Green Iora,,,greior2,Green Iora,Green Iora
Aegolius acadicus,22689366,Northern Saw-whet Owl,,,nswowl,Northern Saw-whet Owl,Northern Saw-whet Owl
