scientificName,eBird_Species_Code,eBird_common_name
Lepidocolaptes angustirostris,nabwoo1,Narrow-billed Woodcreeper
Lepidocolaptes leucogaster,whswoo1,White-striped Woodcreeper
Lepidocolaptes affinis,spcwoo1,Spot-crowned Woodcreeper
Lepidocolaptes lacrymiger,monwoo1,Montane Woodcreeper
Lepidocolaptes squamatus,scawoo1,Scaled Woodcreeper
Lepidocolaptes falcinellus,scawoo2,Scalloped Woodcreeper
Lepidocolaptes duidae,linwoo4,Duida Woodcreeper
Lepidocolaptes albolineatus,linwoo3,Guianan Woodcreeper
Lepidocolaptes fatimalimae,inawoo1,Inambari Woodcreeper
Lepidocolaptes fuscicapillus,ducwoo1,Dusky-capped Woodcreeper
Xenops tenuirostris,slbxen1,Slender-billed Xenops
Xenops minutus,plaxen1,Plain Xenops
Xenops rutilans,strxen1,Streaked Xenops
Berlepschia rikeri,potpal1,Point-tailed Palmcreeper
Microxenops milleri,rutxen1,Rufous-tailed Xenops
Pygarrhichas albogularis,whttre2,White-throated Treerunner
Ochetorhynchus andaecola,rocear1,Rock Earthcreeper
