CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME
species,rebcur1,Red-billed Curassow,Crax blumenbachii
species,helgui,Helmeted Guineafowl,Numida meleagris
species,whbgui1,White-breasted Guineafowl,Agelastes meleagrides
species,blagui1,Black Guineafowl,Agelastes niger
species,vulgui1,Vulturine Guineafowl,Acryllium vulturinum
species,plugui1,Plumed Guineafowl,Guttera plumifera
species,cregui3,Eastern Crested Guineafowl,Guttera pucherani
species,cregui2,Western Crested Guineafowl,Guttera verreauxi
species,cregui4,Southern Crested Guineafowl,Guttera edouardi
species,stopar1,Stone Partridge,Ptilopachus petrosus
species,nahfra2,Nahan's Partridge,Ptilopachus nahani
species,tafqua1,Tawny-faced Quail,Rhynchortyx cinctus
species,mouqua,Mountain Quail,Oreortyx pictus
species,bcwpar1,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
species,ltwpar1,Long-tailed Wood-Partridge,Dendrortyx macroura
species,bewpar1,Bearded Wood-Partridge,Dendrortyx barbatus
species,banqua1,Banded Quail,Philortyx fasciatus
species,norbob,Northern Bobwhite,Colinus virginianus
species,bltbob1,Black-throated Bobwhite,Colinus nigrogularis
species,crebob1,Crested Bobwhite,Colinus cristatus
species,scaqua,Scaled Quail,Callipepla squamata
species,elequa,Elegant Quail,Callipepla douglasii
species,calqua,California Quail,Callipepla californica
species,gamqua,Gambel's Quail,Callipepla gambelii
species,monqua,Montezuma Quail,Cyrtonyx montezumae
species,ocequa1,Ocellated Quail,Cyrtonyx ocellatus
species,sinqua1,Singing Quail,Dactylortyx thoracicus
species,mawqua1,Marbled Wood-Quail,Odontophorus gujanensis
species,swwqua1,Spot-winged Wood-Quail,Odontophorus capueira
species,bewqua1,Black-eared Wood-Quail,Odontophorus melanotis
species,bfwqua1,Black-fronted Wood-Quail,Odontophorus atrifrons
species,rfwqua1,Rufous-fronted Wood-Quail,Odontophorus erythrops
species,chwqua1,Chestnut Wood-Quail,Odontophorus hyperythrus
species,dbwqua1,Dark-backed Wood-Quail,Odontophorus melanonotus
