scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym
Agriornis albicauda,22700081,White-tailed Shrike-tyrant,White-tailed Shrike-Tyrant,"Agriornis andicola, Agriornis andicola albicauda"
Agriornis lividus,22700095,Great Shrike-tyrant,Great Shrike-Tyrant,Agriornis livida
Agriornis micropterus,22700104,Grey-bellied Shrike-tyrant,"Gray-bellied Shrike-Tyrant, Grey-bellied Shrike-Tyrant",Agriornis microptera
Agriornis montanus,22700072,Black-billed Shrike-tyrant,Black-billed Shrike-Tyrant,Agriornis montana
Agriornis murinus,22700114,Lesser Shrike-tyrant,Lesser Shrike-Tyrant,Agriornis murina
Agropsar philippensis,22710874,Chestnut-cheeked Starling,,Sturnus philippensis
Agropsar sturninus,22710870,Purple-backed Starling,Daurian Starling,Sturnus sturninus
Ailuroedus buccoides,22703618,White-eared Catbird,,
Ailuroedus crassirostris,22703624,Green Catbird,,
Ailuroedus melanotis,22703621,Black-eared Catbird,Spotted Catbird,
Aimophila notosticta,22721291,Oaxaca Sparrow,,
Aimophila rufescens,22721294,Rusty Sparrow,,
Aimophila ruficeps,22721288,Rufous-crowned Sparrow,,
Aix galericulata,22680107,Mandarin Duck,Mandarin,
Aix sponsa,22680104,Wood Duck,,
Akialoa ellisiana,103823212,Oahu Akialoa,,Hemignathus ellisianus
Akialoa lanaiensis,103823431,Lanai Akialoa,,
Akialoa obscura,22728910,Hawaii Akialoa,,"Akialoa obscura, Akialoa obscura obscura, Hemignathus obscurus"
Akialoa stejnegeri,103823250,Kauai Akialoa,,
Akletos goeldii,22701838,Goeldi's Antbird,,Myrmeciza goeldii
Akletos melanoceps,22701835,White-shouldered Antbird,,Myrmeciza melanoceps
Alaemon alaudipes,22717262,Greater Hoopoe-lark,"Greater Hoopoe Lark, Greater Hoopoe-Lark, Hoopoe Lark, Hoopoe-Lark",
Alaemon hamertoni,22717270,Lesser Hoopoe-lark,Lesser Hoopoe-Lark,
Alauda arvensis,102998555,Eurasian Skylark,"Skylark, Sky Lark",Alauda japonica
Alauda gulgula,22717424,Oriental Skylark,Small Skylark,
Alauda leucoptera,22717298,White-winged Lark,,Melanocorypha leucoptera
Alauda razae,22717428,Raso Lark,"Raza Island Lark, Razo Lark",
Alaudala cheleensis,216912565,Asian Short-toed Lark,,
Alaudala heinei,216912582,Turkestan Short-toed Lark,,
Alaudala raytal,22717336,Sand Lark,Indian Short-toed Lark,Calandrella raytal
